"Type","Classification","Flow_Substance","Flow_Rate_m3_day","Stabilized_Shut_In_Pressure_kPa","Source_Depth_mkb","Ground_Water_Base_mkb"
"Vent Flow","Serious","Gas",648,1200,4,600
"Vent Flow","Non Serious","Gas",16,500,0,442.9
"Vent Flow","Non Serious","Gas",0.03,105,775,361
"Vent Flow","Non Serious","Gas",0.03,15,0,316.27
"Vent Flow","Non Serious","Gas",0.08,0,0,133.4
"Vent Flow","Non Serious","Gas",0.09,548,0,954.03
"Vent Flow","Non Serious","Gas",2.6,30,407,227.7
"Vent Flow","Non Serious","Gas",0.9,19,252,209.8
"Vent Flow","Non Serious","Gas",3.06,87,656.8,264.57
"Vent Flow","Non Serious","Gas",3,147,42,332
"Vent Flow","Non Serious","Gas",36.96,379,404,277
"Vent Flow","Serious","Gas",0.4,980,375,679.31
"Vent Flow","Serious","Gas",5.99,227,475,515
"Vent Flow","Serious","Gas",32.25,329,0.1,260.7
"Vent Flow","Non Serious","Gas",0.68,40,290,259.5
"Vent Flow","Serious","Gas",1279,1100,0,0
"Vent Flow","Serious","Gas",388,476,0,0
"Vent Flow","Non Serious","Usable Water",0,310,0,0
"Vent Flow","Non Serious","Gas",0,460,0,0
"Vent Flow","Non Serious","Not Converted",0,405,0,0
"Vent Flow","Non Serious","Gas",0.76,40,615,737
"Vent Flow","Non Serious","Gas",116,242,525,537.5
"Vent Flow","Non Serious","Gas",2.38,70,609,408.7
"Vent Flow","Non Serious","Gas",48,500,895,512.09
"Vent Flow","Non Serious","Gas",0.2,21,0,309.8
"Vent Flow","Non Serious","Gas",0.04,205,0,72.52
"Vent Flow","Non Serious","Gas",0.02,79,0,104.61
"Vent Flow","Non Serious","Gas",1.5,78,449,499
"Vent Flow","Serious","Gas",0.54,298,6.35,335
"Vent Flow","Non Serious","Gas",42.5,589,302,212.9
"Vent Flow","Serious","Gas",604,758,695,361.51
"Vent Flow","Serious","Other",16.6,0,190,160
"Vent Flow","Serious","Gas",1.87,72,266,230.41
"Vent Flow","Serious","Hydrocarbon Liquid",1145,993,0,0
"Vent Flow","Non Serious","Gas",0,17,0,0
"Vent Flow","Serious","Gas",1700,414,0,0
"Vent Flow","Non Serious","Gas",3,620,0,0
"Vent Flow","Non Serious","Gas",20,135,0,0
"Vent Flow","Serious","Gas",194,490,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",176,795,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",45,90,0,0
"Vent Flow","Non Serious","Gas",0.84,31,624,555.95
"Vent Flow","Non Serious","Gas",0.06,11,900,276.26
"Vent Flow","Non Serious","Gas",22.4,490,186.5,251.11
"Vent Flow","Non Serious","Gas",19.6,707,139.9,213
"Vent Flow","Non Serious","Gas",0.3,282,0,601.7
"Vent Flow","Serious","Gas",99,99,2734.7,600
"Vent Flow","Non Serious","Gas",0.32,355,0,295.4
"Vent Flow","Serious","Gas",33,340,226,226
"Vent Flow/Gas Migration","Serious","Gas",0.08,6,233.5,134.7
"Vent Flow","Non Serious","Gas",0.25,10,169,85.35
"Vent Flow","Serious","Gas",0.01,245,0,365.6
"Vent Flow","Non Serious","Gas",1,1,0,0
"Vent Flow","Non Serious","Gas",0,1034,0,0
"Vent Flow","Non Serious","Gas",7,345,0,0
"Vent Flow","Non Serious","Gas",0,48,0,0
"Vent Flow","Non Serious","Gas",66,896,0,0
"Vent Flow","Non Serious","Gas",0,4,0,0
"Vent Flow","Non Serious","Gas",10,338,0,0
